HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Answer.surveycode,Approve,Reject
3O2Y2UIUCRLTJGMI4ZFDICIJTINKF4,3029CDJAWF6EZ6TDCUZ55EZY7GODSH,Challenging Science Game - Team up with another worker and make up to $6.50 (1$ basic + $3.5 upon completion + up to $2 bonus),IMPORTANT: You will be playing together with another worker so please only accept this hit if you can start it straight away (< 5 minutes after you accept it) and are confident you will have time to complete it.,"experiment, team, psychology, survey",$1.00,Sun Apr 05 07:28:33 PDT 2020,20,BatchId:3981955;OriginalHitTemplateId:920937340;,3600,259200,Mon Apr 06 07:28:33 PDT 2020,,,31LM9EDVONJDJ8QBA43FDMN5YZ2NJ5,A1945USNZHTROX,Submitted,Sun Apr 05 07:30:32 PDT 2020,Sun Apr 05 07:37:46 PDT 2020,Wed Apr 08 07:37:46 PDT 2020,,,,434,100% (2/2),0% (0/0),0% (0/0),DE6ut0qSDjHvH-7kAAAN,,
3O2Y2UIUCRLTJGMI4ZFDICIJTINKF4,3029CDJAWF6EZ6TDCUZ55EZY7GODSH,Challenging Science Game - Team up with another worker and make up to $6.50 (1$ basic + $3.5 upon completion + up to $2 bonus),IMPORTANT: You will be playing together with another worker so please only accept this hit if you can start it straight away (< 5 minutes after you accept it) and are confident you will have time to complete it.,"experiment, team, psychology, survey",$1.00,Sun Apr 05 07:28:33 PDT 2020,20,BatchId:3981955;OriginalHitTemplateId:920937340;,3600,259200,Mon Apr 06 07:28:33 PDT 2020,,,34S6N1K2ZXAR42S0ARKFOH31GCYLHW,A270HX8LH9LJ8W,Submitted,Sun Apr 05 07:30:32 PDT 2020,Sun Apr 05 07:47:07 PDT 2020,Wed Apr 08 07:47:07 PDT 2020,,,,995,100% (6/6),0% (0/0),0% (0/0),LB1TU2Vb4Wd1eDdCAAAV,,
3O2Y2UIUCRLTJGMI4ZFDICIJTINKF4,3029CDJAWF6EZ6TDCUZ55EZY7GODSH,Challenging Science Game - Team up with another worker and make up to $6.50 (1$ basic + $3.5 upon completion + up to $2 bonus),IMPORTANT: You will be playing together with another worker so please only accept this hit if you can start it straight away (< 5 minutes after you accept it) and are confident you will have time to complete it.,"experiment, team, psychology, survey",$1.00,Sun Apr 05 07:28:33 PDT 2020,20,BatchId:3981955;OriginalHitTemplateId:920937340;,3600,259200,Mon Apr 06 07:28:33 PDT 2020,,,39GHHAVOMHIRX0G5SZOJEDH57IB4JV,A29IDVL9EX3U7S,Submitted,Sun Apr 05 09:37:56 PDT 2020,Sun Apr 05 10:30:42 PDT 2020,Wed Apr 08 10:30:42 PDT 2020,,,,3166,0% (0/0),0% (0/0),0% (0/0),lnl-NQjgkRe4Wwl7AAAp,,
3O2Y2UIUCRLTJGMI4ZFDICIJTINKF4,3029CDJAWF6EZ6TDCUZ55EZY7GODSH,Challenging Science Game - Team up with another worker and make up to $6.50 (1$ basic + $3.5 upon completion + up to $2 bonus),IMPORTANT: You will be playing together with another worker so please only accept this hit if you can start it straight away (< 5 minutes after you accept it) and are confident you will have time to complete it.,"experiment, team, psychology, survey",$1.00,Sun Apr 05 07:28:33 PDT 2020,20,BatchId:3981955;OriginalHitTemplateId:920937340;,3600,259200,Mon Apr 06 07:28:33 PDT 2020,,,3ATTHHXXWCFM0RK9US5OZNZ3NYNIX8,AQSML514QJ4MO,Submitted,Sun Apr 05 07:30:32 PDT 2020,Sun Apr 05 07:57:31 PDT 2020,Wed Apr 08 07:57:31 PDT 2020,,,,1619,0% (0/0),0% (0/0),0% (0/0),Gvz6Xw9XFDc6VPTYAAAW,,
3O2Y2UIUCRLTJGMI4ZFDICIJTINKF4,3029CDJAWF6EZ6TDCUZ55EZY7GODSH,Challenging Science Game - Team up with another worker and make up to $6.50 (1$ basic + $3.5 upon completion + up to $2 bonus),IMPORTANT: You will be playing together with another worker so please only accept this hit if you can start it straight away (< 5 minutes after you accept it) and are confident you will have time to complete it.,"experiment, team, psychology, survey",$1.00,Sun Apr 05 07:28:33 PDT 2020,20,BatchId:3981955;OriginalHitTemplateId:920937340;,3600,259200,Mon Apr 06 07:28:33 PDT 2020,,,3C44YUNSI3G0J72WGNUWEDXNTU6DPD,A2BBDH8DZD77AU,Submitted,Sun Apr 05 07:38:12 PDT 2020,Sun Apr 05 08:28:23 PDT 2020,Wed Apr 08 08:28:23 PDT 2020,,,,3011,100% (1/1),0% (0/0),0% (0/0),zZ5CYdb0UfG8F3vRAAAS,,
3O2Y2UIUCRLTJGMI4ZFDICIJTINKF4,3029CDJAWF6EZ6TDCUZ55EZY7GODSH,Challenging Science Game - Team up with another worker and make up to $6.50 (1$ basic + $3.5 upon completion + up to $2 bonus),IMPORTANT: You will be playing together with another worker so please only accept this hit if you can start it straight away (< 5 minutes after you accept it) and are confident you will have time to complete it.,"experiment, team, psychology, survey",$1.00,Sun Apr 05 07:28:33 PDT 2020,20,BatchId:3981955;OriginalHitTemplateId:920937340;,3600,259200,Mon Apr 06 07:28:33 PDT 2020,,,3D3VGR7TA26NDSGE0QS96ZBQ3Z73RZ,A15FXHC1CVNW31,Submitted,Sun Apr 05 09:32:38 PDT 2020,Sun Apr 05 09:59:41 PDT 2020,Wed Apr 08 09:59:41 PDT 2020,,,,1623,0% (0/0),0% (0/0),0% (0/0),3ioMahe1PAlAZAq3AAAo,,
3O2Y2UIUCRLTJGMI4ZFDICIJTINKF4,3029CDJAWF6EZ6TDCUZ55EZY7GODSH,Challenging Science Game - Team up with another worker and make up to $6.50 (1$ basic + $3.5 upon completion + up to $2 bonus),IMPORTANT: You will be playing together with another worker so please only accept this hit if you can start it straight away (< 5 minutes after you accept it) and are confident you will have time to complete it.,"experiment, team, psychology, survey",$1.00,Sun Apr 05 07:28:33 PDT 2020,20,BatchId:3981955;OriginalHitTemplateId:920937340;,3600,259200,Mon Apr 06 07:28:33 PDT 2020,,,3EF8EXOTT3MA51JM5H5HGFA2VYXJ1T,A1V2H0UF94ATWY,Submitted,Sun Apr 05 07:30:32 PDT 2020,Sun Apr 05 08:12:50 PDT 2020,Wed Apr 08 08:12:50 PDT 2020,,,,2538,100% (2/2),0% (0/0),0% (0/0),piHJRkGAQiNDVM_pAAAL,,
3O2Y2UIUCRLTJGMI4ZFDICIJTINKF4,3029CDJAWF6EZ6TDCUZ55EZY7GODSH,Challenging Science Game - Team up with another worker and make up to $6.50 (1$ basic + $3.5 upon completion + up to $2 bonus),IMPORTANT: You will be playing together with another worker so please only accept this hit if you can start it straight away (< 5 minutes after you accept it) and are confident you will have time to complete it.,"experiment, team, psychology, survey",$1.00,Sun Apr 05 07:28:33 PDT 2020,20,BatchId:3981955;OriginalHitTemplateId:920937340;,3600,259200,Mon Apr 06 07:28:33 PDT 2020,,,3FQ5JJ512NF8USWTSP3RE1NIDO2NK4,A1BVG13MHBM1YD,Submitted,Sun Apr 05 08:31:22 PDT 2020,Sun Apr 05 08:55:14 PDT 2020,Wed Apr 08 08:55:14 PDT 2020,,,,1432,0% (0/0),0% (0/0),0% (0/0),j8RhnjkgKQgD8AtdAAAl,,
3O2Y2UIUCRLTJGMI4ZFDICIJTINKF4,3029CDJAWF6EZ6TDCUZ55EZY7GODSH,Challenging Science Game - Team up with another worker and make up to $6.50 (1$ basic + $3.5 upon completion + up to $2 bonus),IMPORTANT: You will be playing together with another worker so please only accept this hit if you can start it straight away (< 5 minutes after you accept it) and are confident you will have time to complete it.,"experiment, team, psychology, survey",$1.00,Sun Apr 05 07:28:33 PDT 2020,20,BatchId:3981955;OriginalHitTemplateId:920937340;,3600,259200,Mon Apr 06 07:28:33 PDT 2020,,,3FTOP5WARHFAYCY49Y1H2ARSQ6RJ0Q,A2AU47UQON6TL9,Submitted,Sun Apr 05 08:22:41 PDT 2020,Sun Apr 05 08:29:31 PDT 2020,Wed Apr 08 08:29:31 PDT 2020,,,,410,0% (0/0),0% (0/0),0% (0/0),I4siHn8gDt7B8AheAAAe,,
3O2Y2UIUCRLTJGMI4ZFDICIJTINKF4,3029CDJAWF6EZ6TDCUZ55EZY7GODSH,Challenging Science Game - Team up with another worker and make up to $6.50 (1$ basic + $3.5 upon completion + up to $2 bonus),IMPORTANT: You will be playing together with another worker so please only accept this hit if you can start it straight away (< 5 minutes after you accept it) and are confident you will have time to complete it.,"experiment, team, psychology, survey",$1.00,Sun Apr 05 07:28:33 PDT 2020,20,BatchId:3981955;OriginalHitTemplateId:920937340;,3600,259200,Mon Apr 06 07:28:33 PDT 2020,,,3GNCZX450KE2L0ZKWD3UOCPH8R9AP8,A4E818Z7A5FST,Submitted,Sun Apr 05 07:30:32 PDT 2020,Sun Apr 05 08:09:36 PDT 2020,Wed Apr 08 08:09:36 PDT 2020,,,,2344,100% (1/1),0% (0/0),0% (0/0),ROluz6F1_DwwywQ-AAAZ,,
