,rulestring,productions,prod_l,prod_d,li,n_pds,results,gt_trials
0,"ob.atmost(lambda x1: ob.equal(x1, 'no','grounded'), 1, X)","{'S': [2], 'A': [0], 'L': [1], 'B': [0], 'C': [0], 'M': [0], 'D': [6], 'D6': [0]}","[[0, 0, 1], [1, 0], [1, 0, 0], [1, 0, 0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0], [1, 0], [0, 0, 0, 0, 0, 0, 1], [0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0], [0], [0, 0], [0, 0, 0, 0], [0, 1, 0], [1, 0, 0]]","{'S': [2], 'A': [0], 'L': [1], 'B': [0], 'C': [0], 'M': [0], 'D': [6], 'D6': [0]}",0.004629629615740741,8,"[True, False, False, False, False, False, True, False]","[True, False, False, False, False, False, False, False]"
1,"ob.atmost(lambda x1: ob.equal(x1, 'no','grounded'), 1, X)","{'S': [2], 'A': [0], 'L': [1], 'B': [0], 'C': [0], 'M': [0], 'D': [6], 'D6': [0]}","[[0, 0, 1], [1, 0], [1, 0, 0], [1, 0, 0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0], [1, 0], [0, 0, 0, 0, 0, 0, 1], [0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0], [0], [0, 0], [0, 0, 0, 0], [0, 1, 0], [1, 0, 0]]","{'S': [2], 'A': [0], 'L': [1], 'B': [0], 'C': [0], 'M': [0], 'D': [6], 'D6': [0]}",0.004629629615740741,8,"[True, False, False, False, False, False, True, False]","[True, False, False, False, False, False, False, False]"
2,"ob.atmost(lambda x1: ob.equal(x1, 2,'size'), 1, X)","{'S': [2], 'A': [0], 'L': [1], 'B': [0], 'C': [0], 'M': [0], 'D': [1], 'D1': [1]}","[[0, 0, 1], [1, 0], [1, 0, 0], [1, 0, 0, 0, 0], [0, 0, 0], [0, 1, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0], [0, 0], [0, 1, 0, 0, 0, 0, 0], [0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0], [0], [0, 0], [0, 0, 0, 0], [0, 1, 0], [1, 0, 0]]","{'S': [2], 'A': [0], 'L': [1], 'B': [0], 'C': [0], 'M': [0], 'D': [1], 'D1': [1]}",0.0007716049359567901,9,"[True, True, False, True, True, False, True, True]","[True, False, False, False, False, False, False, False]"
3,"ob.atmost(lambda x1: ob.equal(x1, 'blue','colour'), 1, X)","{'S': [2], 'A': [0], 'L': [1], 'B': [0], 'C': [0], 'M': [0], 'D': [0], 'D0': [1]}","[[0, 0, 1], [1, 0], [1, 0, 0], [1, 0, 0, 0, 0], [0, 1, 0], [0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0], [0, 0], [1, 0, 0, 0, 0, 0, 0], [0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0], [0], [0, 0], [0, 0, 0, 0], [0, 1, 0], [1, 0, 0]]","{'S': [2], 'A': [0], 'L': [1], 'B': [0], 'C': [0], 'M': [0], 'D': [0], 'D0': [1]}",0.0030864197438271604,8,"[True, False, False, False, False, False, False, False]","[True, False, False, False, False, False, False, False]"
4,"ob.atmost(lambda x1: ob.equal(x1, 2,'size'), 1, X)","{'S': [2], 'A': [0], 'L': [1], 'B': [0], 'C': [0], 'D': [1], 'D1': [1], 'M': [0]}","[[0, 0, 1], [1, 0], [1, 0, 0], [1, 0, 0, 0, 0], [0, 0, 0], [0, 1, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0], [0, 0], [0, 1, 0, 0, 0, 0, 0], [0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0], [0], [0, 0], [0, 0, 0, 0], [0, 1, 0], [1, 0, 0]]","{'S': [2], 'A': [0], 'L': [1], 'B': [0], 'C': [0], 'D': [1], 'D1': [1], 'M': [0]}",0.0030864197438271604,8,"[True, True, False, True, True, False, True, True]","[True, False, False, False, False, False, False, False]"
5,"ob.atmost(lambda x1: ob.equal(x1, 2,'size'), 1, X)","{'S': [2], 'A': [0], 'L': [1], 'B': [0], 'C': [0], 'D': [1], 'D1': [1], 'M': [0]}","[[0, 0, 1], [1, 0], [1, 0, 0], [1, 0, 0, 0, 0], [0, 0, 0], [0, 1, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0], [0, 0], [0, 1, 0, 0, 0, 0, 0], [0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0], [0], [0, 0], [0, 0, 0, 0], [0, 1, 0], [1, 0, 0]]","{'S': [2], 'A': [0], 'L': [1], 'B': [0], 'C': [0], 'D': [1], 'D1': [1], 'M': [0]}",0.0030864197438271604,8,"[True, True, False, True, True, False, True, True]","[True, False, False, False, False, False, False, False]"
6,"ob.atmost(lambda x1: ob.equal(x1, 2,'size'), 1, X)","{'S': [2], 'A': [0], 'L': [1], 'B': [0], 'C': [0], 'D': [1], 'D1': [1], 'M': [0]}","[[0, 0, 1], [1, 0], [1, 0, 0], [1, 0, 0, 0, 0], [0, 0, 0], [0, 1, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0], [0, 0], [0, 1, 0, 0, 0, 0, 0], [0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0], [0], [0, 0], [0, 0, 0, 0], [0, 1, 0], [1, 0, 0]]","{'S': [2], 'A': [0], 'L': [1], 'B': [0], 'C': [0], 'D': [1], 'D1': [1], 'M': [0]}",0.0030864197438271604,8,"[True, True, False, True, True, False, True, True]","[True, False, False, False, False, False, False, False]"
7,"ob.atmost(lambda x1: ob.equal(x1, 2,'size'), 1, X)","{'S': [2], 'A': [0], 'L': [1], 'B': [0], 'C': [0], 'D': [1], 'D1': [1], 'M': [0]}","[[0, 0, 1], [1, 0], [1, 0, 0], [1, 0, 0, 0, 0], [0, 0, 0], [0, 1, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0], [0, 0], [0, 1, 0, 0, 0, 0, 0], [0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0], [0], [0, 0], [0, 0, 0, 0], [0, 1, 0], [1, 0, 0]]","{'S': [2], 'A': [0], 'L': [1], 'B': [0], 'C': [0], 'D': [1], 'D1': [1], 'M': [0]}",0.0030864197438271604,8,"[True, True, False, True, True, False, True, True]","[True, False, False, False, False, False, False, False]"
8,"ob.atmost(lambda x1: ob.equal(x1, 'rhs','orientation'), 1, X)","{'S': [2], 'A': [0], 'L': [1], 'B': [0], 'C': [0], 'D': [5], 'D5': [2], 'M': [0]}","[[0, 0, 1], [1, 0], [1, 0, 0], [1, 0, 0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 1, 0], [0, 0], [0, 0, 0, 0, 0, 1, 0], [0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0], [0], [0, 0], [0, 0, 0, 0], [0, 1, 0], [1, 0, 0]]","{'S': [2], 'A': [0], 'L': [1], 'B': [0], 'C': [0], 'D': [5], 'D5': [2], 'M': [0]}",0.0023148148078703705,8,"[True, False, False, False, False, False, False, True]","[True, False, False, False, False, False, False, False]"
9,"ob.atmost(lambda x1: ob.equal(x1, 'yes','grounded'), 1, X)","{'S': [2], 'A': [0], 'L': [1], 'B': [0], 'C': [0], 'D': [6], 'D6': [1], 'M': [0]}","[[0, 0, 1], [1, 0], [1, 0, 0], [1, 0, 0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0], [0, 1], [0, 0, 0, 0, 0, 0, 1], [0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0], [0], [0, 0], [0, 0, 0, 0], [0, 1, 0], [1, 0, 0]]","{'S': [2], 'A': [0], 'L': [1], 'B': [0], 'C': [0], 'D': [6], 'D6': [1], 'M': [0]}",0.0011574074039351853,9,"[False, True, False, False, True, True, False, True]","[True, False, False, False, False, False, False, False]"
10,"ob.atmost(lambda x1: ob.equal(x1, 'blue','colour'), 1, X)","{'S': [2], 'A': [0], 'L': [1], 'B': [0], 'C': [0], 'D': [0], 'D0': [1], 'M': [0]}","[[0, 0, 1], [1, 0], [1, 0, 0], [1, 0, 0, 0, 0], [0, 1, 0], [0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0], [0, 0], [1, 0, 0, 0, 0, 0, 0], [0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0], [0], [0, 0], [0, 0, 0, 0], [0, 1, 0], [1, 0, 0]]","{'S': [2], 'A': [0], 'L': [1], 'B': [0], 'C': [0], 'D': [0], 'D0': [1], 'M': [0]}",0.0030864197438271604,8,"[True, False, False, False, False, False, False, False]","[True, False, False, False, False, False, False, False]"
11,"ob.atmost(lambda x1: ob.equal(x1, 1,'size'), 1, X)","{'S': [2], 'A': [0], 'L': [1], 'B': [0], 'C': [0], 'M': [0], 'D': [1], 'D1': [0]}","[[0, 0, 1], [1, 0], [1, 0, 0], [1, 0, 0, 0, 0], [0, 0, 0], [1, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0], [0, 0], [0, 1, 0, 0, 0, 0, 0], [0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0], [0], [0, 0], [0, 0, 0, 0], [0, 1, 0], [1, 0, 0]]","{'S': [2], 'A': [0], 'L': [1], 'B': [0], 'C': [0], 'M': [0], 'D': [1], 'D1': [0]}",0.0030864197438271604,8,"[True, False, False, False, False, False, False, False]","[True, False, False, False, False, False, False, False]"
12,"ob.atmost(lambda x1: ob.equal(x1, 1,'size'), 1, X)","{'S': [2], 'A': [0], 'L': [1], 'B': [0], 'C': [0], 'M': [0], 'D': [1], 'D1': [0]}","[[0, 0, 1], [1, 0], [1, 0, 0], [1, 0, 0, 0, 0], [0, 0, 0], [1, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0], [0, 0], [0, 1, 0, 0, 0, 0, 0], [0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0], [0], [0, 0], [0, 0, 0, 0], [0, 1, 0], [1, 0, 0]]","{'S': [2], 'A': [0], 'L': [1], 'B': [0], 'C': [0], 'M': [0], 'D': [1], 'D1': [0]}",0.0030864197438271604,8,"[True, False, False, False, False, False, False, False]","[True, False, False, False, False, False, False, False]"
13,"ob.atmost(lambda x1: ob.equal(x1, 'red','colour'), 1, X)","{'S': [2], 'A': [0], 'L': [1], 'B': [0], 'C': [0], 'M': [0], 'D': [0], 'D0': [0]}","[[0, 0, 1], [1, 0], [1, 0, 0], [1, 0, 0, 0, 0], [1, 0, 0], [0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0], [0, 0], [1, 0, 0, 0, 0, 0, 0], [0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0], [0], [0, 0], [0, 0, 0, 0], [0, 1, 0], [1, 0, 0]]","{'S': [2], 'A': [0], 'L': [1], 'B': [0], 'C': [0], 'M': [0], 'D': [0], 'D0': [0]}",0.0007716049359567901,9,"[False, True, False, True, True, True, True, True]","[True, False, False, False, False, False, False, False]"
14,"ob.atmost(lambda x1: ob.equal(x1, 'blue','colour'), 1, X)","{'S': [2], 'A': [0], 'L': [1], 'B': [0], 'C': [0], 'M': [0], 'D': [0], 'D0': [1]}","[[0, 0, 1], [1, 0], [1, 0, 0], [1, 0, 0, 0, 0], [0, 1, 0], [0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0], [0, 0], [1, 0, 0, 0, 0, 0, 0], [0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0], [0], [0, 0], [0, 0, 0, 0], [0, 1, 0], [1, 0, 0]]","{'S': [2], 'A': [0], 'L': [1], 'B': [0], 'C': [0], 'M': [0], 'D': [0], 'D0': [1]}",0.0030864197438271604,8,"[True, False, False, False, False, False, False, False]","[True, False, False, False, False, False, False, False]"
15,"ob.atmost(lambda x1: ob.equal(x1, 'blue','colour'), 1, X)","{'S': [2], 'A': [0], 'L': [1], 'B': [0], 'C': [0], 'M': [0], 'D': [0], 'D0': [1]}","[[0, 0, 1], [1, 0], [1, 0, 0], [1, 0, 0, 0, 0], [0, 1, 0], [0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0], [0, 0], [1, 0, 0, 0, 0, 0, 0], [0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0], [0], [0, 0], [0, 0, 0, 0], [0, 1, 0], [1, 0, 0]]","{'S': [2], 'A': [0], 'L': [1], 'B': [0], 'C': [0], 'M': [0], 'D': [0], 'D0': [1]}",0.0030864197438271604,8,"[True, False, False, False, False, False, False, False]","[True, False, False, False, False, False, False, False]"
16,"ob.atmost(lambda x1: ob.equal(x1, 'upright','orientation'), 1, X)","{'S': [2], 'A': [0], 'L': [1], 'B': [0], 'C': [0], 'M': [0], 'D': [5], 'D5': [0]}","[[0, 0, 1], [1, 0], [1, 0, 0], [1, 0, 0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [1, 0, 0, 0], [0, 0], [0, 0, 0, 0, 0, 1, 0], [0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0], [0], [0, 0], [0, 0, 0, 0], [0, 1, 0], [1, 0, 0]]","{'S': [2], 'A': [0], 'L': [1], 'B': [0], 'C': [0], 'M': [0], 'D': [5], 'D5': [0]}",0.0023148148078703705,8,"[True, True, False, True, True, True, True, False]","[True, False, False, False, False, False, False, False]"
17,"ob.atmost(lambda x1: ob.equal(x1, 'upright','orientation'), 1, X)","{'S': [2], 'A': [0], 'L': [1], 'B': [0], 'C': [0], 'M': [0], 'D': [5], 'D5': [0]}","[[0, 0, 1], [1, 0], [1, 0, 0], [1, 0, 0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [1, 0, 0, 0], [0, 0], [0, 0, 0, 0, 0, 1, 0], [0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0], [0], [0, 0], [0, 0, 0, 0], [0, 1, 0], [1, 0, 0]]","{'S': [2], 'A': [0], 'L': [1], 'B': [0], 'C': [0], 'M': [0], 'D': [5], 'D5': [0]}",0.0023148148078703705,8,"[True, True, False, True, True, True, True, False]","[True, False, False, False, False, False, False, False]"
18,"ob.atmost(lambda x1: ob.equal(x1, 'blue','colour'), 1, X)","{'S': [2], 'A': [0], 'L': [1], 'B': [0], 'C': [0], 'M': [0], 'D': [0], 'D0': [1]}","[[0, 0, 1], [1, 0], [1, 0, 0], [1, 0, 0, 0, 0], [0, 1, 0], [0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0], [0, 0], [1, 0, 0, 0, 0, 0, 0], [0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0], [0], [0, 0], [0, 0, 0, 0], [0, 1, 0], [1, 0, 0]]","{'S': [2], 'A': [0], 'L': [1], 'B': [0], 'C': [0], 'M': [0], 'D': [0], 'D0': [1]}",0.0030864197438271604,8,"[True, False, False, False, False, False, False, False]","[True, False, False, False, False, False, False, False]"
